"Deal ID","Deal Name","Category","Sub Category","Supplier Name","Supplier Product Code","EAN No.","MPN","Product Name","Supplier Category","Supplier Subcategory","Long description","Web product name","ETIM Class No","Colour","Material","Finish","Attribute 1 Title","Attribute 1","Attribute 2 Title","Attribute 2","Attribute 3 Title","Attribute 3","Attribute 4 Title","Attribute 4","Attribute 5 Title","Attribute 5","Feature 1","Feature 2","Feature 3","Feature 4","Feature 5","Environmental text","Keywords","Alternative products","Linked products","Marketing Completeness","Image Url"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1800X500 DS",,"2908","P10 Soakaway 1800x0500 SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1800X750 DS",,"2910","P10 Soakaway 1800x0750 SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1800X1000DS",,"2906","P10 Soakaway 1800x1000 SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 0900 SLABX600SR4",,"2658","P20 0900 C/Slab 600 Sq op SR4","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-900-600X600-CENTRAL-KMD.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 0900 SLAB675SR4",,"2657","P20 0900 C/Slab 675 Sq op SR4","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-900-675X675.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 1050 SLABX600SR4",,"1953","P20 1050 C/Slab 600 Sq op SR4 ","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-1050-600X600-ECC-KMD.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 1050 SLAB675SR4 ",,"1949","P20 1050 C/Slab 675 Sq op SR4 ","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-1050-675X675-OPENING-KSB105.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 1200 SLABX600SR4",,"1991","P20 1200 C/Slab 600 Sq op SR4","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-1200-600X600-OPENING-KSC120.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 1200 SLABX675SR4",,"1997","P20 1200 C/Slab 675 Sq op SR4 ","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-1200-675x675-OPENING.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE 1350 SLABX600SR4",,"2022","P20 1350 C/Slab 600 Sq op SR4 ","Concrete Drainage","n/a",,"Precast Concrete Cover Slab","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-C-SL-1350-600x600.jpg"
